"x","y","color","pen down?","x","y","color","pen down?","x","y","color","pen down?","x","y","color","pen down?"
"0","22","15","true","0","1","105","true","0","1","53","true","0","0","1","true"
"1","20","15","true","1","3","105","true","1","1","53","true","1","0","1","true"
"2","18","15","true","2","4","105","true","2","2","53","true","2","0","1","true"
"3","17","15","true","3","4","105","true","3","1","53","true","3","2","1","true"
"4","17","15","true","4","3","105","true","4","2","53","true","4","2","1","true"
"5","16","15","true","5","3","105","true","5","1","53","true","5","4","1","true"
"6","14","15","true","6","4","105","true","6","2","53","true","6","4","1","true"
"7","14","15","true","7","4","105","true","7","1","53","true","7","5","1","true"
