"x","y","color","pen down?","x","y","color","pen down?","x","y","color","pen down?","x","y","color","pen down?"
"0","21","15","true","0","2","105","true","0","1","53","true","0","0","1","true"
"1","18","15","true","1","5","105","true","1","1","53","true","1","0","1","true"
"2","17","15","true","2","5","105","true","2","2","53","true","2","0","1","true"
"3","16","15","true","3","5","105","true","3","3","53","true","3","0","1","true"
"4","15","15","true","4","5","105","true","4","4","53","true","4","0","1","true"
"5","14","15","true","5","5","105","true","5","4","53","true","5","1","1","true"
