"x","y","color","pen down?","x","y","color","pen down?","x","y","color","pen down?","x","y","color","pen down?"
"0","21","15","true","0","2","105","true","0","1","53","true","0","0","1","true"
"1","20","15","true","1","3","105","true","1","1","53","true","1","0","1","true"
"2","18","15","true","2","5","105","true","2","1","53","true","2","0","1","true"
"3","17","15","true","3","5","105","true","3","2","53","true","3","0","1","true"
"4","15","15","true","4","6","105","true","4","3","53","true","4","0","1","true"
"5","15","15","true","5","5","105","true","5","4","53","true","5","0","1","true"
"6","15","15","true","6","4","105","true","6","4","53","true","6","1","1","true"
