
"x","y","color","pen down?","x","y","color","pen down?","x","y","color","pen down?","x","y","color","pen down?"
"0","23","15","true","0","9","105","true","0","2","53","true","0","0","1","true"
"1","20","15","true","1","10","105","true","1","4","53","true","1","0","1","true"
"2","17","15","true","2","13","105","true","2","2","53","true","2","2","1","true"
"3","15","15","true","3","12","105","true","3","5","53","true","3","2","1","true"
"4","13","15","true","4","12","105","true","4","5","53","true","4","4","1","true"
"5","11","15","true","5","14","105","true","5","4","53","true","5","5","1","true"
"6","9","15","true","6","14","105","true","6","5","53","true","6","6","1","true"
"7","9","15","true","7","12","105","true","7","6","53","true","7","7","1","true"
