
"x","y","color","pen down?","x","y","color","pen down?","x","y","color","pen down?","x","y","color","pen down?"
"0","23","15","true","0","9","105","true","0","2","53","true","0","0","1","true"
"1","16","15","true","1","15","105","true","1","3","53","true","1","0","1","true"
"2","14","15","true","2","15","105","true","2","3","53","true","2","2","1","true"
"3","14","15","true","3","14","105","true","3","3","53","true","3","3","1","true"
"4","14","15","true","4","12","105","true","4","4","53","true","4","4","1","true"
"5","14","15","true","5","9","105","true","5","7","53","true","5","4","1","true"
"6","14","15","true","6","9","105","true","6","4","53","true","6","7","1","true"
